Ticker,Date,Close,Resistance,Resistance_Distance_%,Close_Position,Daily_Range_%,Range_Ratio,Volume_Ratio,Volume_Surge_10,Momentum_5d_%,Momentum_10d_%,Momentum_20d_%,MA_Ratio,Distance_MA10_%,Distance_MA30_%,ATR_Pct,Volatility_10d,Price_Range_10d_%,RSI_14,Breakout_Pct,Label,Days_Above_5d,Avg_Close_5d,Return_5d_%,Return_30d_%,Max_Gain_30d_%,Max_Drawdown_30d_%,Pct_Days_Above_30d,Continued_Up_30d
AAPL,2020-08-21,120.5317,114.7387,5.05,0.911,4.52,1.98,2.13,2.06,8.23,11.93,34.53,1.096,9.07,19.51,2.48,0.0195,7.47,77.6,5.05,breakout,5,121.5342,0.35,-6.33,7.89,-14.1,33.3,False
AAPL,2020-12-15,124.1472,122.2735,1.53,0.995,2.95,1.41,1.56,1.74,2.81,4.2,6.3,1.034,4.11,7.64,2.28,0.014,4.65,78.26,1.53,breakout,5,124.9005,3.13,3.19,11.95,-1.0,100.0,True
AAPL,2020-12-28,132.7,130.4866,1.7,0.83,2.8,1.29,1.25,1.09,7.92,11.67,17.24,1.043,6.93,11.58,2.52,0.0196,10.14,73.86,1.7,fakeout,1,128.477,-4.16,-0.8,4.73,-7.38,43.3,False
AAPL,2021-01-25,138.7482,135.7678,2.2,0.746,5.98,2.48,1.43,1.55,12.41,8.23,9.13,1.012,8.89,10.17,2.88,0.0201,9.09,68.59,2.2,fakeout,2,133.663,-6.14,-15.15,0.17,-18.46,6.7,False
AAPL,2021-07-14,145.259,143.6131,1.15,0.778,1.27,0.71,1.63,1.49,3.17,9.4,15.05,1.061,5.36,11.82,1.72,0.0095,8.79,87.66,1.15,fakeout,1,141.971,-2.51,-0.38,1.47,-4.49,36.7,False
AAPL,2021-10-28,148.8124,147.125,1.15,0.826,2.26,1.68,1.32,1.55,2.07,6.13,7.82,1.02,3.22,5.3,1.53,0.0082,6.12,79.72,1.15,fakeout,2,146.5456,-1.06,17.79,17.79,-2.94,73.3,True
AAPL,2021-11-18,154.2066,151.4032,1.85,0.858,3.56,2.41,2.05,2.24,6.76,4.73,5.77,1.016,5.0,6.63,1.61,0.0102,4.76,72.3,1.85,breakout,5,156.6251,-0.67,15.29,15.29,-0.67,100.0,True
AAPL,2021-11-19,156.8244,154.988,1.18,0.895,2.8,1.63,1.68,1.69,7.04,6.13,8.13,1.017,6.28,8.08,1.7,0.013,6.97,78.9,1.18,breakout,4,156.5646,-0.19,11.93,13.37,-2.33,96.7,True
AAPL,2021-12-08,171.0172,167.5984,2.04,0.833,3.0,1.18,1.32,1.03,6.26,8.47,16.09,1.05,7.24,12.59,2.92,0.0211,8.69,77.84,2.04,breakout,5,172.5762,2.41,-7.24,3.96,-7.24,80.0,False
AAPL,2021-12-10,175.2858,172.6485,1.53,0.964,2.75,1.03,1.25,0.96,10.88,14.44,21.36,1.055,8.18,14.13,2.76,0.0219,11.36,75.46,1.53,fakeout,1,170.5034,-4.63,-10.96,1.43,-10.96,26.7,False
AAPL,2022-07-29,159.1747,154.4046,3.09,0.729,2.54,1.11,1.33,1.44,5.46,8.22,18.86,1.059,6.26,12.49,2.44,0.0174,6.73,77.49,3.09,breakout,5,160.446,1.89,0.71,7.56,-4.82,80.0,True
AAPL,2023-02-02,148.1752,144.6481,2.44,0.88,2.0,0.82,1.6,1.73,4.77,11.5,19.36,1.055,6.12,11.97,2.42,0.0127,8.92,83.39,2.44,breakout,5,150.0556,0.03,2.93,3.49,-3.51,90.0,True
